,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,1942,Z19 - Lote D,2,281,"20,0",1396,"609,6126443","20,8","1,1","0,82","6,82",2025-06-20,2025-07-11
,1948,Z10 - Lote A,2,131,"48,8",1350,"633,1128689","30,9","1,8","0,90","8,93",2025-06-20,2025-07-11
,1955,Z11 - Lote B,2,228,"45,0",1321,"615,8114912","29,3","1,7","0,89","8,80",2025-06-20,2025-07-11
,1956,Z10 - Lote A,2,190,"48,0",1317,"621,8692618","30,4","1,8","0,90","8,94",2025-06-20,2025-07-11
,1957,Z10 - Lote A,2,128,"40,0",1302,"633,6749736","28,0","1,6","0,88","8,41",2025-06-20,2025-07-11
,1959,Z10 - Lote A,2,184,"5,0",1286,"622,9425614","16,1","0,3","0,73","4,55",2025-06-20,2025-07-11
,1960,Z14 - Lote C,2,199,"43,0",1277,"620,315067","28,7","1,7","0,89","8,66",2025-06-20,2025-07-11
,1961,Z13 - Lote N,1,350,"45,8",1273,"601,3426734","29,9","1,7","0,88","8,72",2025-06-20,2025-07-11
,1962,Z10 - Lote A,2,135,"50,0",1272,"632,3516854","31,3","1,8","0,90","9,00",2025-06-20,2025-07-11
,1963,Z19 - Lote D,2,124,"21,0",1259,"634,4097368","21,7","1,1","0,81","6,82",2025-06-20,2025-07-11
,1964,Z14 - Lote C,2,46,"46,8",1259,"636,114679","29,9","1,7","0,90","8,93",2025-06-20,2025-07-11
,1968,Z14 - Lote C,2,48,"64,0",1251,"636,6932329","35,6","2,0","0,93","9,73",2025-06-20,2025-07-11
,1969,Z19 - Lote D,1,460,"29,0",1239,"600,324863","24,3","1,3","0,83","7,54",2025-06-20,2025-07-11
,1970,Z14 - Lote C,2,157,"46,0",1238,"628,0588421","29,9","1,7","0,89","8,80",2025-06-20,2025-07-11
,1971,Z14 - Lote C,2,51,"49,0",1210,"637,457875","30,4","1,8","0,92","9,13",2025-06-20,2025-07-11
,1975,Z11 - Lote B,2,63,"44,8",1205,"639,4299651","29,4","1,7","0,90","8,78",2025-05-25,2025-07-11
,1976,Z13 - Lote N,2,109,"52,6",1205,"636,9440972","32,3","1,8","0,90","9,11",2025-06-20,2025-07-11
